Rank,Place,County,Type,TOTAL SCORE,Crime & safety,Schools,Rent cost,Close to SF,School/TK place,Urban density,2BR median rent $,3BR median rent $,2BR under $4k (est. listings),2BR under $4k supply,3BR under $4k (est. listings),3BR under $4k supply,Violent crime /1k,Property crime /1k,Elementary district,Elementary CAASPP % met,Elementary rating /10,Middle/high district,Middle/high CAASPP % met,Middle/high rating /10,"Drive to Ferry Bldg (min, off-peak)",Miles to SF (straight line),Urbanicity index,Population,District enrolment change 2023-25 %,School assignment system,TK capacity,Rank status,Sources,Notes
81,Livermore,Alameda,City,52.6,72.0,69.5,71.9,26.3,48.6,27.4,2687,3700,92% of 2BR stock,Plenty,61% of 3BR stock,Plenty,3.4,16.7,Livermore Valley Joint Unified,62.1,9,Livermore Valley Joint Unified,51.8,8,52.5,35.1,152139,87955,-0.3,address-based attendance area,"Widely available — ""Transitional kindergarten is the first year of a two-year kindergarten experience provided at all elementary and K-8 schools in our district."" No waitlist, lottery, or seat-limit language on the TK page.",Ranked,crimegrade.org; CAASPP 2025 (CDE); livermoreschools.org,"enrolment -0.3% 2023-25 (flat); address-based assignment; TK constrained; Rent: standard Zumper city pattern; 2BR and 3BR from the same page. The page's $3,088 all-types median was not used. Crime: both CrimeGrade pages resolved and named Livermore. District: single UNIFIED district (Livermore Valley Joint Unified, K-12, 19 schools, 12,968 students) covers K-12, same name in both fields. Tri-Valley ROP appeared on the page and was ignored per instruction."
82,Milpitas,Santa Clara,City,52.4,42.5,74.2,51.5,30.7,45.2,70.2,3537,4397,67% of 2BR stock,Plenty,37% of 3BR stock,Some,7.2,11.4,Milpitas Unified,66.9,9,Milpitas Unified,67.9,10,48.5,36.9,416527,80273,1.5,,not established,Ranked,crimegrade.org; CAASPP 2025 (CDE),"enrolment trend only; assignment system and TK position not established; enrolment +1.5% 2023-25 (flat); All four patterns worked first try. 2BR and 3BR from the same Zumper page. GreatSchools confirmed Santa Clara County and a single K-12 unified district, so Milpitas Unified is placed in both district fields per instructions."
83,Stanford,Santa Clara,Unincorporated community,52.1,48.6,97.4,19.8,42.1,44.5,60.0,4950,6710,22% of 2BR stock,Few,3% of 3BR stock,Very few,3.5,41.2,Palo Alto Unified,81.2,10,Palo Alto Unified,80.8,10,38.5,28.5,351872,21150,0.2,address-based attendance area,"Constrained — TK at only 7 of the district's elementary schools, cluster placement 'if space is available'",Ranked,crimegrade.org; CAASPP 2025 (CDE); pausd.org,"enrolment +0.2% 2023-25 (flat); address-based assignment; TK constrained; Complete row. RENT: 2BR $4,950 and 3BR $6,710 from the SAME Zumper page (1BR $3,660) — same-publisher rule satisfied. Page confirmed Stanford, CA. CRIME: violent 3.511, property 41.23 (crimegrade.org/property-crime-stanford-ca/); the violent page broke out assault 1.879, robbery 1.002, rape 0.5585, murder 0.0712. High property rate is plausible for a campus CDP where daytime population far exceeds the ~21k residential base — worth flagging since per-1k rates use resident denominators. DISTRICT: this is the unincorp"
84,Ladera,San Mateo,Unincorporated community,51.9,99.8,78.6,12.6,39.5,38.8,41.9,5470,7230,13% of 2BR stock,Few,2% of 3BR stock,Almost none,0.7,2.9,Las Lomitas Elementary,82.8,10,Sequoia Union High,57.2,9,41.3,30.0,260646,1499,0.8,address-based attendance area,"Not TK-specific, and a seat in the district is guaranteed: ""Resident registrations are always welcome and placement is always guaranteed at one of our Union School District schools."" The home school is not guaranteed, however — ""If a grade level is closed, you can still register, and placement at another District school will be offered."" No TK waitlist or TK lottery stated.",Ranked,"areavibes.com (modeled estimate, NOT FBI-reported) (modelled from demographics; place not in FBI UCR reporting); CAASPP 2025 (CDE); unionsd.org","enrolment +0.8% 2023-25 (flat); address-based assignment; TK constrained; IN SCOPE THIS PASS: crime + district. CRIME: converted from AreaVibes per-100,000 by dividing by 100 — violent 68/100k = 0.68 per 1k, property 292/100k = 2.92 per 1k. IMPORTANT CAVEAT: page states verbatim 'Ladera crime rates are not available from the FBI crime report' because the area is too small for the FBI's uniform crime reporting program; figures are demographic estimates, not observed reported crime. CrimeGrade 404'd. AreaVibes did not name the county on the crime page, but Ladera is the ~520-home CDP in so"
85,Saratoga,Santa Clara,City,51.6,84.0,96.7,32.9,24.2,18.1,53.5,3747,5940,59% of 2BR stock,Some,8% of 3BR stock,Very few,2.5,16.0,Saratoga Union Elementary,85.4,10,Los Gatos-Saratoga Union High,75.6,10,54.2,42.0,319724,31051,-0.2,"choice lottery — address does NOT determine the elementary school: ""Parents may therefore request the transitional kindergarten (TK) through fifth grade school within the district they wish their student to attend, provided the student resides within the boundaries of the District and space permits,"" and ""Proximity to school is not a criteria in placement."" ""Occasionally, a 'lottery' is required when registration requests for a particular grade level at an elementary school site exceed the space available."" (Middle school is single-site: all residents attend Redwood.)","Constrained — placement is space-dependent: TK-eligible-birthday students ""will be offered the TK option first and then, space permitting, we will open it up to families"" with slightly older children, and elementary placement at an oversubscribed site goes to a lottery",Ranked,crimegrade.org; CAASPP 2025 (CDE); saratogausd.org,"enrolment -0.2% 2023-25 (flat); choice/lottery assignment; TK constrained; Complete row. NAME COLLISION CHECKED: I explicitly verified every page said Saratoga, CALIFORNIA — not Saratoga/Saratoga Springs, NY. All three confirmed Santa Clara County, CA. RENT: 2BR $3,747 and 3BR $5,940 from the SAME Zumper page (1BR $3,300) — same-publisher rule satisfied. CRIME: violent 2.491, property 16.02 (crimegrade.org/property-crime-saratoga-ca/). DISTRICT: heavily split city. Three K-8 elementary districts listed (Saratoga Union, Cupertino Union, Campbell Union) and two 9-12 districts (Los Gatos-Sar"
86,Vallejo,Solano,City,51.4,30.0,0.5,99.4,46.5,97.6,34.4,1995,2650,99% of 2BR stock,Plenty,93% of 3BR stock,Plenty,5.4,23.6,Vallejo City Unified,22.8,1,Vallejo City Unified,21.7,2,37.0,22.6,202049,126090,-6.2,"address-based attendance area (with two district ""Lottery Schools"" as optional specialized alternatives)",not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); vcusd.org,"enrolment -6.2% 2023-25 (seats opening); address-based assignment; All three standard city slugs worked cleanly and every page self-identified as Vallejo, CA. 2BR and 3BR from the same Zumper page (Zumper labelled these median rather than average). Property crime from the property-crime-vallejo-ca equivalent. GreatSchools showed a single K-12 unified district serving the city (Solano County Office of Education was listed but ignored per instruction), so the same name fills both district fields."
87,Pacific Heights,San Francisco,SF neighbourhood,51.3,53.3,50.2,8.4,94.9,9.0,92.1,5282,8119,16% of 2BR stock,Few,1% of 3BR stock,Almost none,3.1,59.4,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,9.9,2.3,692214,24000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Consistent bedroom ladder from Apartments.com: studio ~$3,138, 1BR ~$3,693, 2BR ~$5,282, 3BR ~$8,119 - internally coherent, which is why these were used. Cross-checks: RentCafe gave a 2BR band of $3,500-$6,300 and an all-types average of $4,516; Zumper gave $5,595 for 2BR in Lower Pacific Heights (a separate, cheaper sub-neighborhood - not used for Pacific Heights proper). Average 2BR size is small at 671 sqft (3BR ~975 sqft), so the rent-per-square-foot is high even by SF standards. No 2BR-specific listing count f"
88,Palo Alto,Santa Clara,City,51.2,40.9,97.4,15.0,44.0,44.5,65.6,5482,6972,13% of 2BR stock,Few,2% of 3BR stock,Very few,4.2,34.1,Palo Alto Unified,81.2,10,Palo Alto Unified,80.8,10,37.9,28.0,381167,68572,0.2,address-based attendance area,"Constrained — TK at only 7 of the district's elementary schools, cluster placement 'if space is available'",Ranked,crimegrade.org; CAASPP 2025 (CDE); pausd.org,"enrolment +0.2% 2023-25 (flat); address-based assignment; TK constrained; COLLISION RESOLVED — Palo Alto vs East Palo Alto. Crime: I explicitly asked each crimegrade page which of the two it covered; the violent page confirmed it is Palo Alto proper and lists East Palo Alto only as a separate nearby city. District: the GreatSchools Palo Alto page listed Ravenswood City Elementary School District first, and I REJECTED it as Palo Alto's elementary district — Ravenswood City serves East Palo Alto / Menlo Park and appears on the page as a nearby-district listing, not the attendance district "
89,Woodside,San Mateo,Town,51.2,57.8,83.1,28.1,46.5,50.0,41.4,4239,6180,42% of 2BR stock,Some,6% of 3BR stock,Very few,4.5,15.8,Woodside Elementary,87.6,10,Sequoia Union High,57.2,9,37.0,26.4,246771,5309,2.7,"address-based attendance area — single-school district, so residence inside district boundaries determines the school",not established,Ranked,crimegrade.org; CAASPP 2025 (CDE); woodsideschool.us,"enrolment +2.7% 2023-25 (flat); address-based assignment; All three data types found via the standard patterns. 2BR and 3BR from the same Zumper page. GreatSchools page self-identified as 'Woodside is a city in San Mateo county, California' — correct place, and it gave the classic California split: Woodside Elementary SD (K-8) plus Sequoia Union High School District (9-12, Redwood City). The page also mentioned Cabrillo Unified covering some portions; I did not use it, since the K-8 + union-high pair is the primary residential assignment the page describes."
90,Nob Hill,San Francisco,SF neighbourhood,51.0,5.8,50.2,49.1,98.6,9.0,93.5,3490,4568,69% of 2BR stock,Plenty,32% of 3BR stock,Some,12.3,61.6,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,6.7,1.2,703518,26000,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Batch listed this place as needing crime only; rent was not in scope this run, so rent fields are null (not a miss). Crime: the SF-neighbourhood slug form worked on both pages — violent-crime-nob-hill-san-francisco-ca/ (10.98) and property-crime-nob-hill-san-francisco-ca/ (50.69), same publisher, both pages self-identified as 'Nob Hill, San Francisco, CA'. District is stated per the task's own instruction that all SF neighbourhoods are San Francisco Unified; district_source is null because I did not fetch a page to"
91,Excelsior,San Francisco,SF neighbourhood,51.0,39.0,50.2,31.7,84.2,9.0,91.6,4215,5500,43% of 2BR stock,Some,13% of 3BR stock,Few,5.7,17.9,San Francisco Unified,50.1,7,San Francisco Unified,49.1,8,18.4,5.3,690347,40300,0.3,choice lottery,CONSTRAINED — oversubscribed schools allocate limited TK openings by tiebreakers plus random numbers; families join waitlists after assignment,Ranked,"DataSF SFPD incident reports 2025-07..2026-07, calibrated to the CrimeGrade scale; CAASPP 2025 (CDE); sfusd.edu","enrolment +0.3% 2023-25 (flat); choice/lottery assignment; TK constrained; Complete. Rent: Zumper SF-neighbourhood pattern worked; page confirmed 'Excelsior, San Francisco, CA'. 2BR $4,215 and 3BR $5,500 BOTH from that same single page - same-publisher rule satisfied. Page also noted rents down 5% MoM, up 1% YoY. Crime: both CrimeGrade neighbourhood-form pages resolved and both explicitly named Excelsior ('The violent crime rate in Excelsior is 5.193 per 1,000 residents'; property 21.01). Property-crime URL is the crime_url sibling: https://crimegrade.org/property-crime-excelsior-san-fran"
92,Berkeley,Alameda,City,50.8,18.6,77.0,56.3,74.4,0.0,78.6,3341,4195,74% of 2BR stock,Plenty,43% of 3BR stock,Some,6.3,33.0,Berkeley Unified,71.2,10,Berkeley Unified,67.3,10,23.5,8.4,511950,124321,0.9,"choice lottery — ""controlled choice"" within three elementary zones; address sets your zone, not your school","Constrained — TK enrolls through the same centralized elementary assignment process; waitlist FAQ states ""Through a lottery, students are given a waitlist number"" and zone residency ""does not guarantee"" a seat. No TK-specific capacity statement found.",Ranked,crimegrade.org; CAASPP 2025 (CDE); berkeleyschools.net,"enrolment +0.9% 2023-25 (flat); choice/lottery assignment; TK constrained; Crime re-fetched from crimegrade.org for source consistency; the first pass had property 52.29 from plaincrime.com, ~58% above CrimeGrade. Crime figures are 2024 FBI-derived and were published per 100,000 (750 violent = 639/100k; 6,139 property = 5,229/100k); I converted to per 1,000 by dividing by 100. 2BR $3,341 from apartments.com; results also showed $3,348 (apartmentfinder.com), $3,195 (zillow.com), $3,020 (zumper.com, July 2026), $3,412 (renthop.com), $4,047+ (apartmentlist.com) - a wide spread. 3BR $4,195 is"
93,Pacifica,San Mateo,City,50.7,70.8,40.8,38.3,82.8,21.9,49.8,3944,5300,52% of 2BR stock,Some,16% of 3BR stock,Few,3.4,16.8,Pacifica,53.5,8,Jefferson Union High,45.1,7,19.2,13.5,299216,38640,-3.4,"choice lottery — entry-grade seats allocated by a district-wide TK/Kindergarten lottery; residency inside PSD boundaries is the eligibility gate, not a school guarantee","Constrained — TK is offered at only 4 of the district's schools (""offered at Cabrillo, Ortega, Sunset Ridge and Vallemar Schools in fall 2026"") and seats are allocated by lottery: ""The 2026-2027 TK/Kindergarten Lottery was held on Friday, February 6, 2026.""",Ranked,crimegrade.org; CAASPP 2025 (CDE); pacificasd.org,"enrolment -3.4% 2023-25 (seats opening); choice/lottery assignment; TK constrained; Complete row. Primary Zumper pattern worked; 2BR ($3,944) and 3BR ($5,300) both from the SAME Zumper page — same-publisher rule satisfied. Both CrimeGrade pages resolved and both self-identified as Pacifica, CA. GreatSchools: elementary = Pacifica School District (K-8), high school = Jefferson Union High School District (9-12, administered from Daly City). Note the known 'Jefferson' collision in San Mateo County — there is also a Jefferson Elementary School District; the page named Jefferson UNION HIGH for grades 9"
